SNR in DB,spike rate as a fraction of Nyquist rate = 44.1kHz,ahp high,Baseline Threshold
25.807380409856982,0.3957,0.005,5e-05
27.998314392678957,0.6935,0.005,5e-05
17.366273441475784,0.059,0.0005,5e-06
12.045113668671664,0.0788,0.0005,5e-06
20.519798159509296,0.1258,0.0005,5e-06
18.78161841450291,0.3672,0.0005,5e-06
20.067622348453575,0.3946,0.0005,5e-06
17.271747850404655,0.4314,0.0005,5e-06
21.433174226264274,0.4773,0.0005,5e-06
21.06674220140149,0.5359,0.0005,5e-06
20.86539815853333,0.6187,0.0005,5e-06
10.932142929047611,0.4356,4.9999999999999996e-05,5e-07
10.415585512314841,0.5758,4.9999999999999996e-05,5e-07
6.9014445723358575,0.0499,0.005,5e-05
8.379137769910143,0.0663,0.005,5e-05
11.179692826124922,0.1031,0.005,5e-05
19.96597326628915,0.3018,0.005,5e-05
20.468997120219612,0.326,0.005,5e-05
21.374646721806702,0.3554,0.005,5e-05
22.889405246752368,0.3907,0.005,5e-05
24.18742805521269,0.4443,0.005,5e-05
25.91162871105989,0.5133,0.005,5e-05
27.685237543633356,0.6018,0.005,5e-05
14.21896020115031,0.3237,0.0005,5e-06
16.226255892628963,0.426,0.0005,5e-06
17.9215032440101,0.6557,0.0005,5e-06
0.09801233122977523,0.032,0.0005,5e-06
0.04115602918506947,0.0414,4.9999999999999996e-05,5e-07
0.04628849210977695,0.0552,4.9999999999999996e-05,5e-07
0.107255094178408,0.0859,4.9999999999999996e-05,5e-07
4.559727350748412,0.245,4.9999999999999996e-05,5e-07
6.06980376209982,0.2657,4.9999999999999996e-05,5e-07
7.141042198709183,0.2904,4.9999999999999996e-05,5e-07
8.690544807731474,0.3199,4.9999999999999996e-05,5e-07
9.426880316752273,0.3541,4.9999999999999996e-05,5e-07
11.374050418000817,0.408,4.9999999999999996e-05,5e-07
14.36362019848573,0.4799,4.9999999999999996e-05,5e-07
17.41001263832002,0.5808,4.9999999999999996e-05,5e-07
0.09613141060852821,0.0628,4.9999999999999996e-06,5e-08
0.1563339098911826,0.0874,4.9999999999999996e-06,5e-08
0.5387332463069575,0.1464,4.9999999999999996e-06,5e-08
11.385030289363309,0.508,4.9999999999999996e-06,5e-08
8.756736422932743,0.5597,4.9999999999999996e-06,5e-08
13.23369280118751,0.6222,4.9999999999999996e-06,5e-08
1.7388947959652126,0.2554,5e-07,5e-09
5.0469405188996355,0.3397,5e-07,5e-09
9.050152779220296,0.5334,5e-07,5e-09
0.15094533070898972,0.0234,0.0005,5e-06
0.25120336066409865,0.0327,0.0005,5e-06
2.0812293316808637,0.0812,0.0005,5e-06
1.858062773105051,0.0881,0.0005,5e-06
5.216310092869895,0.0963,0.0005,5e-06
4.492883788903322,0.1038,0.0005,5e-06
4.695303823732103,0.1129,0.0005,5e-06
7.3672855474070715,0.1269,0.0005,5e-06
9.198377768691337,0.1479,0.0005,5e-06
12.71539114224338,0.1799,0.0005,5e-06
14.237706793512237,0.231,0.0005,5e-06
16.085601147147788,0.3743,0.0005,5e-06
4.303826273815299,0.0477,4.9999999999999996e-05,5e-07
4.760689558711651,0.0653,4.9999999999999996e-05,5e-07
5.1589711901058735,0.1081,4.9999999999999996e-05,5e-07
10.382411292502216,0.3699,4.9999999999999996e-05,5e-07
10.46708885370686,0.4039,4.9999999999999996e-05,5e-07
11.648792094736859,0.447,4.9999999999999996e-05,5e-07
12.835974975258182,0.4994,4.9999999999999996e-05,5e-07
13.586715355934043,0.5699,4.9999999999999996e-05,5e-07
16.16165689182825,0.6617,4.9999999999999996e-05,5e-07
7.44835626006636,0.1363,4.9999999999999996e-06,5e-08
8.304603093409037,0.1729,4.9999999999999996e-06,5e-08
9.402156457629404,0.2606,4.9999999999999996e-06,5e-08
0.6077089134406529,0.0486,0.005,5e-05
0.7145618776273581,0.0671,0.005,5e-05
1.0334256524441015,0.1123,0.005,5e-05
3.0443651777452168,0.402,0.005,5e-05
3.3382906450697867,0.4422,0.005,5e-05
3.659247602629601,0.4927,0.005,5e-05
4.248980140506104,0.5572,0.005,5e-05
4.797535614833083,0.6422,0.005,5e-05
2.81929080925924,0.1293,0.0005,5e-06
3.2977520431391194,0.1733,0.0005,5e-06
4.548976291588165,0.2801,0.0005,5e-06
0.1526169062824448,0.032,4.9999999999999996e-05,5e-07
0.16426505626579097,0.0406,4.9999999999999996e-05,5e-07
0.25129639910733853,0.0585,4.9999999999999996e-05,5e-07
1.4708663518082579,0.1333,4.9999999999999996e-05,5e-07
1.5777266646443644,0.1403,4.9999999999999996e-05,5e-07
1.4689285477078107,0.1499,4.9999999999999996e-05,5e-07
1.4031738376906389,0.1597,4.9999999999999996e-05,5e-07
1.6450708939043914,0.1754,4.9999999999999996e-05,5e-07
4.880816727833656,0.1962,4.9999999999999996e-05,5e-07
6.726537176818804,0.2226,4.9999999999999996e-05,5e-07
7.796278076488595,0.2754,4.9999999999999996e-05,5e-07
9.674199150057804,0.3453,4.9999999999999996e-05,5e-07
11.106323152366524,0.4984,4.9999999999999996e-05,5e-07
0.1751938637864382,0.0527,4.9999999999999996e-06,5e-08
0.2433424705400778,0.073,4.9999999999999996e-06,5e-08
0.3044987367529305,0.1239,4.9999999999999996e-06,5e-08
5.473693033759812,0.4498,4.9999999999999996e-06,5e-08
9.131047088179553,0.494,4.9999999999999996e-06,5e-08
10.359158190231934,0.5493,4.9999999999999996e-06,5e-08
11.246452255548283,0.6211,4.9999999999999996e-06,5e-08
1.1884221429405823,0.1371,5e-07,5e-09
1.6846744143444567,0.1853,5e-07,5e-09
4.254793415042842,0.2965,5e-07,5e-09
6.757149118573903,0.1002,0.005,5e-05
8.080415823529803,0.1369,0.005,5e-05
9.815445699155944,0.222,0.005,5e-05
16.550925050944393,0.6995,0.005,5e-05
16.422364933705605,0.6522,0.0005,5e-06
2.8080463037828176,0.0286,0.0005,5e-06
3.35469280862372,0.0311,0.0005,5e-06
3.903392474017957,0.034,0.0005,5e-06
5.300038164295245,0.0364,0.0005,5e-06
6.240454096652903,0.0406,0.0005,5e-06
7.770191449648184,0.0468,0.0005,5e-06
9.408508691455816,0.0564,0.0005,5e-06
9.628313947252197,0.0695,0.0005,5e-06
12.015342582158542,0.0907,0.0005,5e-06
12.800839058105673,0.1432,0.0005,5e-06
1.0760292524760149,0.0442,4.9999999999999996e-05,5e-07
1.466609457971584,0.0603,4.9999999999999996e-05,5e-07
2.6404674257055714,0.1008,4.9999999999999996e-05,5e-07
8.563618806297592,0.3206,4.9999999999999996e-05,5e-07
10.076917594548116,0.3454,4.9999999999999996e-05,5e-07
11.35879294857817,0.3788,4.9999999999999996e-05,5e-07
12.504955799469537,0.4191,4.9999999999999996e-05,5e-07
13.598914214642912,0.4703,4.9999999999999996e-05,5e-07
15.739695784292618,0.5349,4.9999999999999996e-05,5e-07
19.268283500419507,0.6326,4.9999999999999996e-05,5e-07
6.09951176470025,0.0822,4.9999999999999996e-06,5e-08
7.237758753061216,0.1092,4.9999999999999996e-06,5e-08
9.330520627877707,0.175,4.9999999999999996e-06,5e-08
17.888349895951595,0.5874,4.9999999999999996e-06,5e-08
18.438532243581786,0.6441,4.9999999999999996e-06,5e-08
11.960582496876839,0.4706,5e-07,5e-09
13.301097826936628,0.5811,5e-07,5e-09
0.585591165978557,0.0203,0.0005,5e-06
1.9782013564335243,0.0559,0.0005,5e-06
2.134701400028486,0.0605,0.0005,5e-06
3.439170384551489,0.0653,0.0005,5e-06
3.7147423013648186,0.0696,0.0005,5e-06
9.026540916892623,0.0775,0.0005,5e-06
9.970218939529419,0.0876,0.0005,5e-06
14.451972284198003,0.1025,0.0005,5e-06
9.2185673665564,0.1221,0.0005,5e-06
18.154381415178772,0.1585,0.0005,5e-06
20.5262691752251,0.2734,0.0005,5e-06
0.5574538042860945,0.0443,4.9999999999999996e-05,5e-07
0.6497658731384177,0.0607,4.9999999999999996e-05,5e-07
1.0290133254275247,0.0961,4.9999999999999996e-05,5e-07
10.502533151284752,0.2676,4.9999999999999996e-05,5e-07
13.601153409913527,0.2897,4.9999999999999996e-05,5e-07
13.081673281862866,0.3135,4.9999999999999996e-05,5e-07
14.923682344453756,0.3453,4.9999999999999996e-05,5e-07
19.41384631798965,0.386,4.9999999999999996e-05,5e-07
17.48262030619601,0.4405,4.9999999999999996e-05,5e-07
21.41965617584696,0.5136,4.9999999999999996e-05,5e-07
21.418587017831726,0.6264,4.9999999999999996e-05,5e-07
2.9380417628799984,0.0954,4.9999999999999996e-06,5e-08
4.418398107775358,0.1302,4.9999999999999996e-06,5e-08
7.364606794587138,0.2124,4.9999999999999996e-06,5e-08
12.586966266975669,0.6735,4.9999999999999996e-06,5e-08
8.167982990918503,0.5874,5e-07,5e-09
0.89579505597879,0.0234,0.005,5e-05
2.6461246163817864,0.0698,0.005,5e-05
2.697430754623893,0.0761,0.005,5e-05
4.4668806207755365,0.0833,0.005,5e-05
6.017234887030739,0.0908,0.005,5e-05
7.405081295242516,0.1027,0.005,5e-05
9.768491955763848,0.1181,0.005,5e-05
10.27268583108424,0.1428,0.005,5e-05
10.859224644591654,0.1738,0.005,5e-05
11.920575136599753,0.2388,0.005,5e-05
13.964045070968833,0.369,0.005,5e-05
1.3085124874963032,0.0393,0.0005,5e-06
1.4721026102667534,0.0547,0.0005,5e-06
2.37100957842779,0.0897,0.0005,5e-06
8.357256319199118,0.3138,0.0005,5e-06
10.249272956014215,0.3449,0.0005,5e-06
11.377031543310071,0.3817,0.0005,5e-06
11.802453513272074,0.4263,0.0005,5e-06
12.869942209569366,0.4859,0.0005,5e-06
14.348998701538685,0.5671,0.0005,5e-06
16.3120832134244,0.6811,0.0005,5e-06
5.865237963234645,0.1024,4.9999999999999996e-05,5e-07
7.263320819416488,0.1387,4.9999999999999996e-05,5e-07
10.2609127094853,0.2238,4.9999999999999996e-05,5e-07
16.11218537717447,0.6609,4.9999999999999996e-06,5e-08
0.6364097395812528,0.0207,0.005,5e-05
0.9403726290287056,0.0277,0.005,5e-05
1.2180772541990763,0.0442,0.005,5e-05
5.544677978717466,0.1328,0.005,5e-05
5.5394669415867215,0.1448,0.005,5e-05
6.0406719338384365,0.1588,0.005,5e-05
7.172123643610064,0.1786,0.005,5e-05
8.842572866837514,0.1978,0.005,5e-05
10.435758824450705,0.2245,0.005,5e-05
11.951826551060217,0.2596,0.005,5e-05
13.738498529653516,0.3188,0.005,5e-05
14.848878605797056,0.4216,0.005,5e-05
18.79381626751045,0.6485,0.005,5e-05
1.629971438267766,0.0416,0.0005,5e-06
1.8864290213004424,0.0576,0.0005,5e-06
2.9244285178898686,0.0969,0.0005,5e-06
8.665040650887324,0.3423,0.0005,5e-06
9.218814149709058,0.3736,0.0005,5e-06
10.46243948183932,0.4124,0.0005,5e-06
11.987472763627105,0.4625,0.0005,5e-06
13.270395510301254,0.5281,0.0005,5e-06
15.795936877537077,0.6138,0.0005,5e-06
6.262499892050821,0.1309,4.9999999999999996e-05,5e-07
7.555858010526897,0.1762,4.9999999999999996e-05,5e-07
10.622799124377703,0.2836,4.9999999999999996e-05,5e-07
3.363758482560772,0.0448,0.005,5e-05
3.790536438354878,0.0475,0.005,5e-05
4.573904910772575,0.0516,0.005,5e-05
4.609522009433401,0.0553,0.005,5e-05
5.77152301596594,0.0606,0.005,5e-05
8.67648073155493,0.0657,0.005,5e-05
12.852947844086962,0.0766,0.005,5e-05
16.85166332945831,0.0913,0.005,5e-05
17.882577526705973,0.1227,0.005,5e-05
17.470098466593306,0.2153,0.005,5e-05
0.4074581135868023,0.0405,0.0005,5e-06
0.5742511786519153,0.0553,0.0005,5e-06
0.9724067542922087,0.09,0.0005,5e-06
11.808244907674228,0.2744,0.0005,5e-06
12.195963630271184,0.2983,0.0005,5e-06
15.093116652018598,0.3269,0.0005,5e-06
13.610304071637845,0.3595,0.0005,5e-06
20.417628359943713,0.4027,0.0005,5e-06
20.43544514390365,0.4634,0.0005,5e-06
20.63519773433312,0.5472,0.0005,5e-06
24.514706218624944,0.6748,0.0005,5e-06
3.4908800412828613,0.0886,4.9999999999999996e-05,5e-07
6.225566381601113,0.1198,4.9999999999999996e-05,5e-07
6.1050432757311635,0.1954,4.9999999999999996e-05,5e-07
17.109479235775915,0.6156,4.9999999999999996e-05,5e-07
18.908119025952544,0.6733,4.9999999999999996e-05,5e-07
9.789905569079993,0.5123,4.9999999999999996e-06,5e-08
9.81672985609471,0.674,4.9999999999999996e-06,5e-08
3.1387377919349735,0.0492,0.005,5e-05
4.001845905377281,0.0659,0.005,5e-05
6.375405506990129,0.105,0.005,5e-05
13.196363869235139,0.3327,0.005,5e-05
16.57731230323336,0.3635,0.005,5e-05
18.35822762901956,0.4003,0.005,5e-05
19.560701264338302,0.4467,0.005,5e-05
20.49154041296535,0.5079,0.005,5e-05
23.26444186083333,0.5933,0.005,5e-05
10.64738375713733,0.223,0.0005,5e-06
11.315894688285653,0.2882,0.0005,5e-06
10.338352088073965,0.4374,0.0005,5e-06
